peak.Date,ID,flood,minimum,base,variable
2022-08-01T19:00:00Z,AM,1,6.812401,7.448983074637956,pH
2022-12-15T09:00:00Z,AM,NA,7.122801000000001,NA,pH
2023-02-24T00:00:00Z,AM,2,5.7648,7.554477382473318,pH
2023-06-28T16:00:00Z,AM,3,7.336201000000001,7.838927067351374,pH
2023-08-30T09:00:00Z,AM,4,7.743601,7.838927067351374,pH
2024-02-04T08:20:00Z,AM,5,7.4299838978039965,NA,pH
2024-04-23T09:50:00Z,AM,6,6.061056009901803,7.838927067351374,pH
2022-03-30T12:00:00Z,GB,NA,5.8983,NA,pH
2022-08-17T00:00:00Z,GB,1,7.463,7.407650258130066,pH
2023-12-23T00:00:00Z,GB,2,7.245,7.420110942736743,pH
2022-10-18T04:00:00Z,ID,1,7.53523300131971,7.448983074637956,pH
2023-03-04T06:00:00Z,ID,2,7.42378947358974,7.643293777783296,pH
2023-07-04T06:00:00Z,ID,3,7.30037992667359,7.698730434536913,pH
2023-12-26T21:00:00Z,ID,4,6.995765596277592,7.65723923536936,pH
2024-04-22T02:00:00Z,ID,5,7.338085350405699,7.65723923536936,pH
2024-06-16T08:00:00Z,ID,6,7.551427849297775,7.260788076234672,pH
2024-07-24T13:00:00Z,ID,NA,5.157260053755824,NA,pH
2022-11-18T15:00:00Z,LF,NA,6.32340027141408,NA,pH
2023-02-24T01:00:00Z,LF,2,7.23803803064652,7.560639784440594,pH
2023-07-01T00:00:00Z,LF,3,7.37621543857458,7.725372067660979,pH
2023-08-24T06:00:00Z,LF,4,7.32945051601918,7.599745654748224,pH
2023-12-26T02:00:00Z,LF,5,7.54022053485559,7.808260396233704,pH
2024-04-23T08:00:00Z,LF,6,6.627952522647965,7.559141822919666,pH
2022-10-13T05:00:00Z,OS,1,7.22928148597877,7.448983074637956,pH
2022-12-17T14:00:00Z,OS,NA,6.66140423178079,NA,pH
2023-03-02T06:00:00Z,OS,2,6.76830963587267,7.505270221074273,pH
2023-07-26T20:00:00Z,OS,3,7.14013292268839,7.561921759094481,pH
2023-12-25T01:00:00Z,OS,4,6.64289871704969,7.448983074637956,pH
2024-04-22T10:00:00Z,OS,5,6.512588835988378,7.448983074637956,pH
NA,GB,6,NA,7.448983074637956,pH
