recess.intercept,recess.slope,ID,flood,r2.recess,flood.start,flood.end,duration,rise.intercept,rise.slope,r2.rise,peak.Date,maximum,base,variable
11895.930710715069,-12.646989784829403,AM,1,0.9471104609312175,2022-07-01,2022-11-02,124,11573.777809428842,2.006380857427798,0.48789855171753094,2022-09-17T14:00:00Z,11670,2272.435969037584,CO2
9622.214743053242,-1.7619165063318887,AM,2,0.10554902453301922,2023-01-29,2023-05-09,100,12705.549862107011,76.03194083002325,0.9125973779956787,2023-02-28T22:00:00Z,11478,3910.3478008975726,CO2
10362.296706537183,-2.0679181284901085,AM,3,0.040502542714744356,2023-06-16,2023-07-16,30,10454.029065674345,10.354694821708227,0.633904644794759,2023-07-04T05:00:00Z,14076,4541.941671671671,CO2
18054,-0,AM,4,NA,2023-09-05,2023-11-22,78,12937.408232917749,3.2967144120331007,0.09648560383548897,2023-09-15T04:00:00Z,18054,9099.356320060622,CO2
12517.335091334922,-12.69966395809024,AM,5,0.20517027210206462,2023-11-25,2023-12-08,13,16999.43828741624,29.804820941776406,0.8655580602886424,2023-12-04T04:00:00Z,17084.66,8865.485840126583,CO2
6780.291514717247,-0.23243380565235314,GB,1,0.49817608352131715,2022-09-08,2022-10-31,53,7947.567460002043,0.9139632325390176,0.18750000000001257,2022-09-15T23:00:00Z,7405.641880613624,5474.938157379722,CO2
6838.1667500999,-0.5226821592399731,GB,2,0.30724671272183,2023-06-24,2023-11-29,158,7286.9202274682075,0.9733659854685478,0.46497831298809456,2023-08-06T02:00:00Z,7444.305625262584,6030.522299261669,CO2
7405.139985723296,-0.6501279223760746,GB,3,0.3365697558754535,2023-12-01,2024-02-19,80,7905.781107623783,16.438547070139087,0.7566020534944483,2023-12-26T07:00:00Z,7965.882352941177,6376.826130568872,CO2
4259.310851799479,-1.4169643680047728,ID,1,0.817702441621846,2022-08-11,2022-09-24,44,3739.677983293713,0.4005572111512038,0.007091845243073167,2022-09-17T08:00:00Z,4494.837,2847.5582528737928,CO2
3434.4048845366324,-0.12025654678711148,ID,3,0.008342067525353412,2022-08-04,2023-06-09,309,3848.3542400611145,-0.033202311275602754,0.01566493241848293,2023-10-19T10:00:00Z,4496.1978,2685.222099892732,CO2
3713.821188905427,-0.03281218572040094,ID,4,1.317130343344924e-4,2023-12-19,2024-02-01,44,4459.438118331263,5.875509997238855,0.6807456987668203,2023-12-25T22:00:00Z,4421.5722000000005,2636.041072611276,CO2
3046.640995378615,-3.213471573108814,LF,1,0.5884450661397053,2022-07-19,2022-11-08,112,3101.3923518222055,5.995285400558261,0.7935138730003664,2022-07-30T22:00:00Z,2934.7631017996464,1414.779568347874,CO2
2549.5976819401894,-0.48886321119968124,LF,2,0.7123139131306166,2023-02-06,2023-04-29,82,2664.488093166458,1.6981205259315553,0.7473740539243182,2023-02-28T06:00:00Z,2631,1169.3776468949832,CO2
2536.481058101077,-4.145022316909732,LF,3,0.5370743905538673,2023-06-19,2023-08-01,43,2464.7761171274283,0.28133181165266313,0.15948819771790237,2023-07-25T08:00:00Z,2812,1253.6651137432652,CO2
3454.2169438366036,-2.8160948563347383,LF,4,0.6818831301744523,2022-05-03,2023-10-25,540,3238.2432381705867,3.201578473403237,0.5370147998472524,2023-09-22T10:00:00Z,3931.9616666666666,1671.6699564382484,CO2
3400.047619047613,-16.065525383707183,OS,1,0.8962964581777524,2022-08-31,2022-10-01,31,2329.20793208043,-0.2003625685969879,0.06936513017588646,2022-09-13T08:00:00Z,3164,1882.0383863134507,CO2
2625.781320049814,-1.285145635991727,OS,2,0.016450821865708922,2023-05-21,2023-06-04,14,3133.805296442682,4.7170842311040175,0.722085555439018,2023-03-06T06:00:00Z,2598,1837.8176583867453,CO2
3936.0531125071393,-0.12872863858015482,OS,3,0.0011138489490834162,2023-06-09,2023-07-28,49,3702.689534883717,2.677169967912944,0.19311851386202894,2023-06-22T22:00:00Z,4482,2272.435969037584,CO2
NA,NA,GB,5,NA,2022-05-08,2022-05-15,7,6188.207009295454,0.8508881244677663,0.6729464026733614,NA,NA,5960.762195736755,CO2
NA,NA,ID,2,NA,2023-02-19,2023-03-01,10,3472.925518680941,-0.12969462319440808,0.04907486505100251,2023-04-08T14:00:00Z,4406.3964,2652.562597928679,CO2
NA,NA,LF,5,NA,NA,2023-12-16,NA,NA,NA,NA,2023-12-10T08:00:00Z,1707.8366666666668,NA,CO2
NA,NA,OS,5,NA,NA,2022-06-03,NA,NA,NA,NA,NA,NA,NA,CO2
NA,NA,AM,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-20T02:00:00Z,13937.02,NA,CO2
NA,NA,GB,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-19T01:00:00Z,7974.377048156517,NA,CO2
NA,NA,ID,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-23T17:00:00Z,4495.029294,NA,CO2
NA,NA,LF,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-16T10:00:00Z,2839.912378820348,NA,CO2
NA,NA,OS,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-29T02:00:00Z,3494,NA,CO2
