ID,Date,DO,discharge,depth,Temp
AM,2022-03-30T14:00:00Z,3.5,NA,NA,66.42
AM,2022-03-30T15:00:00Z,3.39,NA,NA,66.52
AM,2022-03-30T16:00:00Z,3.22,NA,NA,66.6
AM,2022-03-30T17:00:00Z,3.12,NA,NA,66.88
AM,2022-03-30T18:00:00Z,3.13,NA,NA,67.28
AM,2022-03-30T19:00:00Z,2.99,NA,NA,67.32
AM,2022-03-30T20:00:00Z,2.77,NA,NA,67.5
AM,2022-03-30T21:00:00Z,2.69,NA,NA,67.53
AM,2022-03-30T22:00:00Z,2.49,NA,NA,67.78
AM,2022-03-30T23:00:00Z,2.34,NA,NA,67.93
AM,2022-03-31T00:00:00Z,2.24,NA,NA,67.93
AM,2022-03-31T01:00:00Z,2.16,NA,NA,68.04
AM,2022-03-31T02:00:00Z,2.06,NA,NA,68.22
AM,2022-03-31T03:00:00Z,2.05,NA,NA,68.43
AM,2022-03-31T04:00:00Z,2.02,NA,NA,68.58
AM,2022-03-31T05:00:00Z,2,NA,NA,68.61
AM,2022-03-31T06:00:00Z,2.52,NA,NA,68.79
AM,2022-03-31T07:00:00Z,2.9,NA,NA,68.94
AM,2022-03-31T08:00:00Z,2.68,NA,NA,69.04
AM,2022-03-31T09:00:00Z,2.53,NA,NA,69.08
AM,2022-03-31T10:00:00Z,2.57,NA,NA,69.22
AM,2022-03-31T11:00:00Z,2.47,NA,NA,69.3
AM,2022-03-31T12:00:00Z,2.48,NA,NA,69.44
AM,2022-03-31T13:00:00Z,2.38,NA,NA,69.55
AM,2022-03-31T14:00:00Z,2.26,NA,NA,69.62
AM,2022-03-31T15:00:00Z,2.13,NA,NA,69.69
AM,2022-03-31T16:00:00Z,2.09,NA,NA,69.76
AM,2022-03-31T17:00:00Z,1.86,NA,NA,69.87
AM,2022-03-31T18:00:00Z,2.06,NA,NA,69.91
AM,2022-03-31T19:00:00Z,2.2,NA,NA,69.98
AM,2022-03-31T20:00:00Z,2.18,NA,NA,70.02
AM,2022-03-31T21:00:00Z,2.33,NA,NA,70.05
AM,2022-03-31T22:00:00Z,2.25,NA,NA,70.02
AM,2022-03-31T23:00:00Z,2.25,NA,NA,70.02
AM,2022-04-01T00:00:00Z,2.19,NA,NA,69.98
AM,2022-04-01T01:00:00Z,2.09,NA,NA,69.94
AM,2022-04-01T02:00:00Z,2.12,NA,NA,69.94
AM,2022-04-01T03:00:00Z,2.1,NA,NA,69.87
AM,2022-04-01T04:00:00Z,1.87,NA,NA,69.84
AM,2022-04-01T05:00:00Z,1.92,NA,NA,69.76
AM,2022-04-01T06:00:00Z,1.76,NA,NA,69.69
AM,2022-04-01T07:00:00Z,1.74,NA,NA,69.62
AM,2022-04-01T08:00:00Z,1.69,NA,NA,69.58
AM,2022-04-01T09:00:00Z,1.71,NA,NA,69.62
AM,2022-04-01T10:00:00Z,1.71,NA,NA,69.66
AM,2022-04-01T11:00:00Z,1.62,NA,NA,69.69
AM,2022-04-01T12:00:00Z,1.75,NA,NA,69.8
AM,2022-04-01T13:00:00Z,1.72,NA,NA,69.94
AM,2022-04-01T14:00:00Z,1.59,NA,NA,70.05
AM,2022-04-01T15:00:00Z,1.58,NA,NA,70.23
AM,2022-04-01T16:00:00Z,1.51,NA,NA,70.38
AM,2022-04-01T17:00:00Z,1.43,NA,NA,70.48
AM,2022-04-01T18:00:00Z,1.39,NA,NA,70.56
AM,2022-04-01T19:00:00Z,1.37,NA,NA,70.59
AM,2022-04-01T20:00:00Z,1.76,NA,NA,70.66
AM,2022-04-01T21:00:00Z,1.91,NA,NA,70.59
AM,2022-04-01T22:00:00Z,1.83,NA,NA,70.41
AM,2022-04-01T23:00:00Z,1.69,NA,NA,70.27
AM,2022-04-02T00:00:00Z,1.57,NA,NA,70.2
AM,2022-04-02T01:00:00Z,1.55,NA,NA,70.12
AM,2022-04-02T02:00:00Z,1.53,NA,NA,70.02
AM,2022-04-02T03:00:00Z,1.5,NA,NA,69.91
AM,2022-04-02T04:00:00Z,1.59,NA,NA,69.8
AM,2022-04-02T05:00:00Z,1.64,NA,NA,69.69
